id,operacional_system,processor,memory,graphics,fk_game_id
e3fdf1e813a54f44b71f30a411e9c23e2,Windows XP SP3 or Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions),Intel Core 2 Duo E4400 @ 2.0 GHz or AMD Athlon64 X2 3800+ @ 2 GHz,2 GB RAM,"NVidia GeForce 9600GT or higher, AMD Radeon HD3850 or higher (512MB VRAM with Shader Model 4.0)",2 GB available space,e3fdf1e813a54f44b71f30a411e9c23e
4c0ccb5098414557a12a921d8c17acb21,64-bit 10.9. This product is not compatiable with macOS 10.15 Catalina or later.,Core i3 2.4Ghz, 4 GB RAM,NVIDIA GeForce GTX 260 / AMD Radeon HD 5750. OpenGL 3.3,25 GB,4c0ccb5098414557a12a921d8c17acb2
4c0ccb5098414557a12a921d8c17acb22,64-bit 10.9. This product is not compatiable with macOS 10.15 Catalina or later.,Core i5 2.4Ghz,8 GB RAM,NVIDIA GeForce GTX 480 / AMD Radeon HD 5970. OpenGL 3.3,25 GB,4c0ccb5098414557a12a921d8c17acb2
3f3c3f8ca3f743ef94155fd1088220d31,Windows XP / Vista / 7 / 8,2 Ghz Dual Core or higher,512 MB RAM,,650 MB available space,3f3c3f8ca3f743ef94155fd1088220d3
3f3c3f8ca3f743ef94155fd1088220d32,Windows XP / Vista / 7 / 8,2 Ghz Dual Core or higher,512 MB RAM,,650 MB available space,3f3c3f8ca3f743ef94155fd1088220d3
fa12d8a775a14c29863354f05999e6211,XP or later,1.5Ghz CPU,1 GB RAM,graphics card that supports Shader Model 2.0 or greater,200 MB available space,fa12d8a775a14c29863354f05999e621
fa12d8a775a14c29863354f05999e6212,XP or later,1.5Ghz CPU,1 GB RAM,graphics card that supports Shader Model 2.0 or greater,200 MB available space,fa12d8a775a14c29863354f05999e621
73f7ee3f9e5540ff963573b9c3b087441,"Windows XP, Windows 7, Windows Vista, Windows 8, Windows 10","Intel® Core™ 2 Duo 2.4 GHz, AMD Athlon™ X2 2.8 GHz, or higher",2GB Ram or higher,"Shader Model 3.0, 512 Vram",2GB Disk Space,73f7ee3f9e5540ff963573b9c3b08744
73f7ee3f9e5540ff963573b9c3b087442,"Windows XP, Windows 7, Windows Vista, Windows 8, Windows 10","Intel® Core™ 2 Duo 2.4 GHz, AMD Athlon™ X2 2.8 GHz, or higher",2GB Ram or higher,"Shader Model 3.0, 512 Vram",2GB Disk Space,73f7ee3f9e5540ff963573b9c3b08744
80c35836c0184c1e91dde0f2a05ebbbb1,Windows XP,Dual Core,1 GB RAM,,1 GB available space,80c35836c0184c1e91dde0f2a05ebbbb
